id,IDNumber,stormName,stormDate,stormTime,Status,lat ,lon,maximumWind
1,EP011949,            UNNAMED,19490611,0, TS,20.2,106.3,45
2,EP011949,            UNNAMED,19490611,600, TS,20.2,106.4,45
3,EP011949,            UNNAMED,19490611,1200, TS,20.2,106.7,45
4,EP011949,            UNNAMED,19490611,1800, TS,20.3,107.7,45
5,EP011949,            UNNAMED,19490612,0, TS,20.4,108.6,45
6,EP011949,            UNNAMED,19490612,600, TS,20.5,109.4,45
7,EP011949,            UNNAMED,19490612,1200, TS,20.6,110.2,45
8,EP021949,            UNNAMED,19490617,1200, TS,14.1,107,45
9,EP021949,            UNNAMED,19490617,1800, TS,14.6,107.7,45
10,EP021949,            UNNAMED,19490618,0, TS,15,108.4,45
11,EP021949,            UNNAMED,19490618,600, TS,15.4,109.2,45
12,EP021949,            UNNAMED,19490618,1200, TS,15.7,110,45
13,EP021949,            UNNAMED,19490618,1800, TS,16,110.8,45
14,EP021949,            UNNAMED,19490619,0, TS,16.3,111.6,45
15,EP021949,            UNNAMED,19490619,600, TS,16.7,112.3,45
16,EP021949,            UNNAMED,19490619,1200, TS,17.1,112.9,45
17,EP021949,            UNNAMED,19490619,1800, TS,17.5,113.5,45
18,EP021949,            UNNAMED,19490620,0, TS,18,114.1,45
19,EP021949,            UNNAMED,19490620,600, TS,18.4,114.6,45
20,EP021949,            UNNAMED,19490620,1200, TS,18.9,115.1,45
21,EP021949,            UNNAMED,19490620,1800, TS,19.4,115.6,45
22,EP021949,            UNNAMED,19490621,0, TS,19.9,116,45
23,EP021949,            UNNAMED,19490621,600, TS,20.4,116.4,45
24,EP021949,            UNNAMED,19490621,1200, TS,21,116.7,45
25,EP021949,            UNNAMED,19490621,1800, TS,21.5,117.1,45
26,EP021949,            UNNAMED,19490622,0, TS,22,117.5,45
27,EP021949,            UNNAMED,19490622,600, TS,22.5,117.8,45
28,EP021949,            UNNAMED,19490622,1200, TS,23.1,118,45
29,EP021949,            UNNAMED,19490622,1800, TS,23.9,118,45
30,EP021949,            UNNAMED,19490623,0, TS,24.7,117.7,45
31,EP021949,            UNNAMED,19490623,600, TS,25.4,117.4,45
32,EP021949,            UNNAMED,19490623,1200, TS,26,117,45
33,EP031949,            UNNAMED,19490903,1200, TS,17.3,106.3,45
34,EP031949,            UNNAMED,19490903,1800, TS,17.6,106.6,45
35,EP031949,            UNNAMED,19490904,0, TS,17.9,106.8,45
36,EP031949,            UNNAMED,19490904,600, TS,18.4,106.8,45
37,EP031949,            UNNAMED,19490904,1200, TS,18.8,106.9,45
38,EP031949,            UNNAMED,19490904,1800, TS,18.9,106.9,45
39,EP031949,            UNNAMED,19490905,0, TS,19,107,45
40,EP031949,            UNNAMED,19490905,600, TS,19,107.1,45
41,EP031949,            UNNAMED,19490905,1200, TS,19.1,107.2,45
42,EP031949,            UNNAMED,19490905,1800, TS,19.6,107.9,45
43,EP031949,            UNNAMED,19490906,0, TS,20.2,108.8,45
44,EP031949,            UNNAMED,19490906,600, TS,20.7,109.4,45
45,EP031949,            UNNAMED,19490906,1200, TS,21.2,110,45
46,EP031949,            UNNAMED,19490906,1800, TS,22,110.8,45
47,EP031949,            UNNAMED,19490907,0, TS,22.9,111.7,45
48,EP031949,            UNNAMED,19490907,600, TS,23.8,112.8,45
49,EP031949,            UNNAMED,19490907,1200, TS,24.8,113.8,45
50,EP031949,            UNNAMED,19490907,1800, TS,25.5,114.5,45
51,EP031949,            UNNAMED,19490908,0, TS,26.2,115.2,45
52,EP031949,            UNNAMED,19490908,600, TS,27.6,115.9,45
53,EP031949,            UNNAMED,19490908,1200, TS,28.6,116.4,45
54,EP031949,            UNNAMED,19490908,1800, TS,28.4,116.4,45
55,EP031949,            UNNAMED,19490909,0, TS,28.2,116.4,45
56,EP031949,            UNNAMED,19490909,600, TS,28.1,116.4,45
57,EP031949,            UNNAMED,19490909,1200, TS,28,116.5,45
58,EP041949,            UNNAMED,19490909,1200, HU,19.3,108.6,75
59,EP041949,            UNNAMED,19490909,1800, HU,20.2,109.4,75
60,EP041949,            UNNAMED,19490910,0, HU,21.2,110.2,75
61,EP041949,            UNNAMED,19490910,600, HU,21.8,110.6,75
62,EP041949,            UNNAMED,19490910,1200, HU,22.5,110.9,75
63,EP041949,            UNNAMED,19490910,1800, HU,23.2,111,75
64,EP041949,            UNNAMED,19490911,0, HU,23.9,111,75
65,EP041949,            UNNAMED,19490911,600, HU,24.3,111,75
66,EP041949,            UNNAMED,19490911,1200, HU,24.5,110.9,75
67,EP051949,            UNNAMED,19490917,1200, TS,15.4,101.3,45
68,EP051949,            UNNAMED,19490917,1800, TS,15.8,102.8,45
69,EP051949,            UNNAMED,19490918,0, TS,16.5,103.9,45
70,EP051949,            UNNAMED,19490918,600, TS,17.7,104.6,45
71,EP051949,            UNNAMED,19490918,1200, TS,18.7,105.4,45
72,EP051949,            UNNAMED,19490918,1800, TS,19,106.1,45
73,EP051949,            UNNAMED,19490919,0, TS,19.3,106.7,45
74,EP051949,            UNNAMED,19490919,600, TS,19.7,107.3,45
75,EP051949,            UNNAMED,19490919,1200, TS,20.1,107.9,45
76,EP061949,            UNNAMED,19490929,0, TD,16.1,107.4,25
77,EP061949,            UNNAMED,19490929,600, TS,17,107.2,45
